ordem;narrativa
532971;PECAS DE REPOSICAO / PED: 47758
532983;PECAS DE REPOSICAO / PED: 47566 / COR: VERDE JD
532987;PECAS DE REPOSICAO / PED: 47566 / COR: VERDE JD
532998;PECAS DE REPOSICAO / PED: 47785
533018;PECAS DE REPOSICAO / PED: 47758
533059;PECAS DE REPOSICAO / PED: 47770 / COR: VERDE JD
533065;PECAS DE REPOSICAO / PED: 47770 / COR: VERDE JD
533084;PECAS DE REPOSICAO / PED: 47770 / COR: VERDE JD
533085;PECAS DE REPOSICAO / PED: 47770 / COR: VERDE JD
533122;FELIPE - PCP 1102
533130;PECAS DE REPOSICAO / PED: 47842
533138;40 >> 103 PECAS DE REPOSICAO / PED: 47825 / COR: VERDE JD
533143;PECAS DE REPOSICAO / PED: 47825 / COR: VERDE JD
533149;PECAS DE REPOSICAO / PED: 47842 
533169;MARIO
533170;MARIO
533204;
533281;PECAS DE REPOSICAO / RAIZEN / PRIORIDADE
533355;PECAS DE REPOSICAO
533363;PECAS DE REPOSICAO / PED: 47855
533364;PECAS DE REPOSICAO / PED: 47855
533373;PECAS DE REPOSICAO / PED: 47868 / COR: VERDE JD
533378;PECAS DE REPOSICAO / PED: 47868 / COR: VERDE JD
533402;PECAS DE REPOSICAO / PED: 47909 e 47912
533416;PECAS DE REPOSICAO / PED: 47926 / COR: PRETO
533417;PECAS DE REPOSICAO / PED: 47926 / COR: PRETO
533426;PECAS DE REPOSICAO / PED: 47926 / COR: PRETO
533429;PECAS DE REPOSICAO / PED: 47926 / COR: PRETO
533432;PECAS DE REPOSICAO / PED: 47911
533442;PECAS DE REPOSICAO / PED: 47909 e 47912
533443;PECAS DE REPOSICAO / PED: 47909 e 47912
533448;ASSISTENCIA TECNICA
533450;REFERENTE AO PLANEJAMENTO 16/01/2023
533479;PECAS DE REPOSICAO / PED: 47959
533516;
533517;
533518;
533536;GABRIEL
533538;GABRIEL
533543;GABRIEL
533544;GABRIEL
533545;GABRIEL
533553;GABRIEL
533564;MTROVATTI
533649;GABRIEL
533650;GABRIEL
533651;GABRIEL
533652;GABRIEL
533653;GABRIEL
533654;GABRIEL
533655;GABRIEL
533656;GABRIEL
533657;GABRIEL
533658;GABRIEL
533687;RZAMBELLI - REFORMA GRUNNER
533769;APAZIN - ESTUDO CONJUNTOS SULCADORES PCP
